,Palavra,Categoria gramatical,Fonética
135,a·bas·te·ci·do,adjetivo,a.bas.te.sˈi.dʊ
136,a·bas·te·ci·men·to,nome masculino,a.bas.te.si.mˈẽj.tʊ
137,a·ba·ta·na·do,adjetivo,a.ba.ta.nˈa.dʊ
138,a·ba·ta·ta·do,adjetivo,a.ba.ta.tˈa.dʊ
139,a·ba·ta·tar,verbo,a.ba.ta.tˈa
140,a·ba·te,nome masculino,a.bˈa.tʃi
141,a·ba·ter,verbo,a.ba.tˈe
142,a·ba·ti·da·men·te,advérbio,a.ba.tʃi.da.mˈẽj.tʃi
143,a·ba·ti·do,adjetivo,a.ba.tʃˈi.dʊ
144,a·ba·ti·men·to,nome masculino,a.ba.tʃi.mˈẽj.tʊ
145,a·ba·ti·na·do,adjetivo,a.ba.tʃi.nˈa.dʊ
146,a·ba·ti·nar,verbo,a.ba.tʃi.nˈaɾ
147,a·bau·la·da·men·te,advérbio,a.baw.la.da.mˈẽj.tʃi
148,a·ba·u·la·do,adjetivo,a.baw.lˈa.dʊ
149,a·ba·u·la·men·to,nome masculino,a.ba.u.la.mˈẽj.tʊ
150,a·ba·u·lar,verbo,a.ba.u.lˈa
151,a·bau·ni·lha·do,adjetivo,a.baw.ni.ʎˈa.dʊ
152,a·bau·ni·lhar,verbo,a.baw.ni.ʎˈa
153,a·ba·xi·al,adjetivo,a.ba.ki.sjˈaw
154,abc,nome masculino,ˌa.bˌe.sˈe
155,ab·ce·dên·ci·a,nome feminino,ab.se.dˈẽj.sjə
156,ab·ce·den·te,adjetivo,ab.se.dˈẽj.tʃi
157,ab·ce·der,verbo,ab.se.dˈeɾ
158,ab·ces·são,nome feminino,ab.se.sˈə̃w
159,ab·ces·so,nome masculino,a.bi.sˈɛ.sʊ
160,ab·ci·são,nome feminino,ab.si.zˈə̃w
161,ab·di·ca·ção,nome feminino,a.bi.dʒi.ka.sˈə̃w
162,ab·di·ca·do,adjetivo,a.bi.dʒi.kˈa.dʊ
163,ab·di·car,verbo,a.bi.dʒi.kˈa
164,ab·dó·men,nome masculino,a.bə.dˈɔ.mɛ̃
165,ab·dô·men,nome masculino,a.bə.dˈo.mẽj
166,ab·do·mi·nal,nome masculino,a.bə.do.mi.nˈaw
167,ab·do·mi·nal,adjetivo,a.bə.do.mi.nˈaw
168,a·be·be·rar,verbo,a.be.be.ɾˈa
169,a·be·ce·da·ri·a·men·te,advérbio,a.be.se.da.ɾja.mˈẽj.tʃi
170,a·be·ce·dá·ri·o,nome masculino,a.be.se.dˈa.ɾjʊ
171,a·be·ce·dá·ri·o,adjetivo,a.be.se.dˈa.ɾjʊ
172,a·bé·cu·la,nome feminino,a.bˈɛ.ku.lə
173,a·be·gão,nome masculino,a.be.gˈə̃w
174,a·be·go·a·ri·a,nome feminino,a.be.go.a.ɾˈi.jə
175,a·bei·ra·do,adjetivo,a.bej.ɾˈa.dʊ
176,a·bei·rar,verbo,a.bej.ɾˈa
177,a·bei·ro,nome masculino,a.bˈej.ɾʊ
178,a·bei·ro,adjetivo,a.bˈej.ɾʊ
179,a·be·lha,nome feminino,a.bˈe.ʎə
180,a·be·lhar,verbo,a.be.ʎˈa
181,a·be·lha·ru·co,nome masculino,a.be.ʎa.ɾˈu.kʊ
182,a·be·lhei·ra,nome feminino,a.be.ʎˈej.ɾə
183,a·be·lhu·da·men·te,advérbio,a.be.ʎu.da.mˈẽj.tʃi
184,a·be·lhu·do,adjetivo,a.be.ʎˈu.dʊ
185,a·be·lhu·do,nome masculino,a.be.ʎˈu.dʊ
186,a·ben·cer·ra·gem,nome masculino,a.bẽ.se.xˈa.ʒeɲ
187,a·ben·ço·a·da·men·te,advérbio,a.bẽ.so.a.da.mˈẽj.tʃi
188,a·ben·ço·a·do,adjetivo,a.bẽ.so.ˈa.dʊ
189,a·ben·ço·ar,verbo,a.bẽ.so.ˈa
190,a·ber·ra·ção,nome feminino,a.be.xa.sˈə̃w
191,a·ber·ran·te,adjetivo,a.be.xˈə̃.tʃi
192,a·ber·rar,verbo,a.be.xˈaɾ
193,a·ber·ta,nome feminino,a.bˈɛɾ.tə
194,a·ber·ta·men·te,advérbio,a.bɛɾ.ta.mˈẽj.tʃi
195,a·ber·tís·si·mo,adjetivo,a.beɾ.tʃˈi.si.mʊ
196,a·ber·to,adjetivo,a.bˈɛɾ.tʊ
197,a·ber·to,nome masculino,a.bˈɛɾ.tʊ
198,a·ber·tu·ra,nome feminino,a.beɾ.tˈu.ɾə
199,a·bes·pi·nha·da·men·te,advérbio,a.bes.pi.ɲa.da.mˈẽj.tʃi
200,a·bes·pi·nha·do,adjetivo,a.bes.pi.ɲˈa.dʊ
201,a·bes·pi·nhar,verbo,a.bes.pi.ɲˈa
202,a·bes·ti·ar,verbo,a.bes.tʃjˈaɾ
203,a·be·ta,nome feminino,a.bˈe.tə ou a.bˈɛ.tə
204,a·be·tar·da,nome feminino,a.be.tˈaɾ.də
205,a·be·ter·no,advérbio,a.be.tˈer.nʊ
206,a·be·to,nome masculino,a.bˈe.tʊ
207,a·be·va·cu·a·ção,nome feminino,a.be.va.kwa.sˈə̃w
208,a·bi·be,nome masculino,a.bˈi.bi ou a.bˈi.bi
209,a·bi·car,verbo,a.bi.kˈa
210,a·bi·ní·ci·o,advérbio,a.bi.nˈi.sjʊ
211,a·bir·ri·ta·ção,nome feminino,a.bi.xi.ta.sˈə̃w
212,a·bir·ri·tan·te,adjetivo,a.bi.xi.tˈə̃.tʃi
213,a·bir·ri·tar,verbo,a.bi.xi.tˈaɾ
214,a·bir·ri·tá·vel,adjetivo,a.bi.xi.tˈa.vew
215,a·bis·ma·do,adjetivo,a.biz.mˈa.dʊ
216,a·bis·mal,adjetivo,a.biz.mˈaw
217,a·bis·mar,verbo,a.biz.mˈa
218,a·bis·mo,nome masculino,a.bˈiz.mʊ
219,a·bis·sal,adjetivo,a.bi.sˈaw
220,a·bis·sí·ni·a,nome feminino,a.bi.sˈi.njə
221,a·bis·sí·ni·o,adjetivo,a.bi.sˈi.njʊ
222,a·bis·sí·ni·o,nome masculino,a.bi.sˈi.njʊ
223,a·bis·so,nome masculino,a.bˈi.sʊ
224,ab·je·ção,nome feminino,a.bi.ʒe.sˈə̃w
225,ab·je·ta·men·te,advérbio,a.bi.ʒɛ.ta.mˈẽj.tʃi
226,ab·je·to,adjetivo,a.bi.ʒˈɛ.tʊ
227,ab·ju·di·can·te,adjetivo,ab.ʒu.dʒi.kˈə̃.tʃi
228,ab·ju·di·can·te,nome masculino,ab.ʒu.dʒi.kˈə̃.tʃi
229,ab·ju·di·can·te,nome feminino,ab.ʒu.dʒi.kˈə̃.tʃi
230,ab·ju·gar,verbo,ab.ʒu.gˈaɾ
231,ab·jun·ção,nome feminino,ab.ʒũ.sˈə̃w
232,ab·jun·gir,verbo,ab.ʒũ.ʒˈiɾ
233,ab·ju·ra·ção,nome feminino,a.bə.ʒu.ɾa.sˈə̃w
234,ab·ju·ra·do,adjetivo,a.bə.ʒu.ɾˈa.dʊ
235,ab·ju·ra·men·to,nome masculino,ab.ʒu.ɾa.mˈẽj.tʊ
236,ab·ju·rar,verbo,a.bə.ʒu.ɾˈa
237,a·bla·ção,nome feminino,a.bla.sˈə̃w
238,a·blac·ta·ção,nome feminino,ab.la.kə.ta.sˈə̃w
239,a·blac·tar,verbo,ab.la.kə.tˈaɾ
240,a·bla·me·lar,adjetivo,ab.la.me.lˈaɾ
241,a·bla·mi·nar,adjetivo,ab.la.mi.nˈaɾ
242,a·bla·mi·ná·ri·a,nome feminino,ab.la.mi.nˈa.ɾjə
243,a·bla·que·a·ção,nome feminino,ab.la.ki.a.sˈə̃w
244,a·bla·que·ar,verbo,ab.la.ki.ˈaɾ
245,ab·le·ga·ção,nome feminino,ab.le.ga.sˈə̃w
246,ab·le·ga·do,nome masculino,ab.le.gˈa.dʊ
247,ab·le·ga·do,adjetivo,ab.le.gˈa.dʊ
248,ab·le·gar,verbo,ab.le.gˈaɾ
249,a·blei·tar,verbo,ab.lej.tˈaɾ
250,a·blo·ca·ção,nome feminino,ab.lo.ka.sˈə̃w
251,a·blo·ca·dor,adjetivo,ab.lo.ka.dˈoɾ
252,a·blo·ca·dor,nome masculino,ab.lo.ka.dˈoɾ
253,a·blo·car,verbo,ab.lo.kˈaɾ
254,a·blo·ca·tá·ri·o,nome masculino,ab.lo.ka.tˈa.ɾjʊ
255,a·blu·ção,nome feminino,a.blu.sˈə̃w
256,ab·ne·ga·ção,nome feminino,a.bi.ne.ga.sˈə̃w
257,ab·ne·ga·da·men·te,advérbio,a.bi.ne.ga.da.mˈẽj.tʃi
258,ab·ne·ga·do,adjetivo,a.bi.ne.gˈa.dʊ
259,ab·ne·ga·dor,adjetivo,ab.ne.ga.dˈoɾ
260,ab·ne·ga·dor,nome masculino,ab.ne.ga.dˈoɾ
261,ab·ne·gar,verbo,a.bi.ne.gˈa
262,ab·ne·ga·ti·vo,adjetivo,ab.ne.ga.tʃˈi.vʊ
263,ab·ne·to,nome masculino,ab.nˈɛ.tʊ
264,ab·no·do·so,adjetivo,ab.no.dˈo.zʊ
265,ab·nor·mal,adjetivo,ab.noɾ.mˈaw
266,a·bo·ar,verbo,a.bo.ˈa
267,a·bó·ba·da,nome feminino,a.bˈɔ.ba.də
268,a·bo·ba·da·do,adjetivo,a.bo.ba.dˈa.dʊ
269,a·bo·ba·dar,verbo,a.bo.ba.dˈa
270,a·bo·ba·di·lha,nome feminino,a.bo.ba.dʒˈi.ʎə
271,a·bó·bo·ra,nome feminino,a.bˈɔ.bo.ɾə
272,a·bo·bo·rar,verbo,a.bo.bo.ɾˈa
273,a·bo·bo·rei·ra,nome feminino,a.bo.bo.ɾˈej.ɾə
274,a·bo·bra,nome feminino,a.bˈɔ.bɾə
275,a·bo·bra,interjeição,a.bˈɔ.bɾə
276,a·bo·brei·ra,nome feminino,a.bo.bɾˈej.ɾə
277,a·bo·ca,interjeição,a.bˈo.kə
278,a·bo·ca·nha·do,adjetivo,a.bo.ka.ɲˈa.dʊ
279,a·bo·ca·nhar,verbo,a.bo.ka.ɲˈa
280,a·bo·car,verbo,a.bɔ.kˈaɾ
281,a·boi·o,nome masculino,a.bˈoj.jʊ
282,a·boi·o,adjetivo,a.bˈoj.jʊ
283,a·bo·la,nome feminino,a.bˈɔ.lə
284,a·bo·lar,verbo,a.bo.lˈa
285,a·bo·le·a·do,adjetivo,a.bo.li.ˈa.dʊ
286,a·bo·le·ar,verbo,a.bo.li.ˈaɾ
287,a·bo·le·ta·do,nome masculino,a.bo.le.tˈa.dʊ
288,a·bo·le·ta·do,adjetivo,a.bo.le.tˈa.dʊ
289,a·bo·le·tar,verbo,a.bo.le.tˈa
290,a·bo·lhar,verbo,a.bo.ʎˈaɾ
291,a·bo·li·ção,nome feminino,a.bo.li.sˈə̃w
292,a·bo·li·ci·o·nis·mo,nome masculino,a.bo.li.si.o.nˈiz.mʊ
293,a·bo·li·ci·o·nis·ta,adjetivo,a.bo.li.si.o.nˈis.tə
294,a·bo·li·ci·o·nis·ta,nome masculino,a.bo.li.si.o.nˈis.tə
295,a·bo·li·ci·o·nis·ta,nome feminino,a.bo.li.si.o.nˈis.tə
296,a·bo·li·do,adjetivo,a.bo.lˈi.dʊ
297,a·bo·lir,verbo,a.bo.lˈi
298,a·bo·mi·na·ção,nome feminino,a.bo.mi.na.sˈə̃w
299,a·bo·mi·nan·do,adjetivo,a.bo.mi.nˈə̃.dʊ
300,a·bo·mi·nar,verbo,a.bo.mi.nˈa
301,a·bo·mi·ná·vel,adjetivo,a.bo.mi.nˈa.vew
302,a·bo·mi·na·vel·men·te,advérbio,a.bo.mi.na.vew.mˈẽj.tʃi
303,a·bo·mi·no·so,adjetivo,a.bo.mi.nˈo.zʊ
304,a·bo·na·ção,nome feminino,a.bo.na.sˈə̃w
305,a·bo·na·da·men·te,advérbio,a.bo.na.da.mˈẽj.tʃi
306,a·bo·na·do,adjetivo,a.bo.nˈa.dʊ
307,a·bo·nar,verbo,a.bo.nˈa
308,a·bo·na·to·ri·a·men·te,advérbio,a.bo.na.tɔ.ɾja.mˈẽj.tʃi
309,a·bo·na·tó·ri·o,adjetivo,a.bo.na.tˈɔ.ɾjʊ
310,a·bon·da,interjeição,a.bˈõ.də
311,a·bon·de,advérbio,a.bˈõ.dʒi
312,a·bo·no,nome masculino,a.bˈo.nʊ
313,a·bo·ral,adjetivo,a.bo.ɾˈaw
314,a·bor·bi·tar,verbo,a.boɾ.bi.tˈaɾ
315,a·bor·da·da,nome feminino,a.boɾ.dˈa.də
316,a·bor·da·do,adjetivo,a.boɾ.dˈa.dʊ
317,a·bor·da·gem,nome feminino,a.boɾ.dˈa.ʒeɲ
318,a·bor·dar,verbo,a.boɾ.dˈa
319,a·bor·dá·vel,adjetivo,a.boɾ.dˈa.vew
320,a·bor·do,nome masculino,a.bˈoɾ.dʊ
321,a·bo·rí·ge·ne,adjetivo,a.bo.ɾˈi.ʒe.ni
322,a·bo·rí·ge·ne,nome masculino,a.bo.ɾˈi.ʒe.ni ou a.bo.ɾˈi.ʒe.ni
323,a·bor·re·cer,verbo,a.bo.xe.sˈe
324,a·bor·re·ci·da,nome feminino,a.bo.xe.sˈi.də
325,a·bor·re·ci·da·men·te,advérbio,a.bo.xe.si.da.mˈẽj.tʃi
326,a·bor·re·ci·do,adjetivo,a.bo.xe.sˈi.dʊ
327,a·bor·re·ci·do,nome masculino,a.bo.xe.sˈi.dʊ
328,a·bor·re·ci·men·to,nome masculino,a.bo.xe.si.mˈẽj.tʊ
329,a·bor·ta·dei·ra,nome feminino,a.boɾ.ta.dˈej.ɾə
330,a·bor·ta·do,adjetivo,a.boɾ.tˈa.dʊ
331,a·bor·ta·do,nome masculino,a.boɾ.tˈa.dʊ
332,a·bor·ta·men·to,nome masculino,a.boɾ.ta.mˈẽj.tʊ
333,a·bor·tar,verbo,a.boɾ.tˈa
334,a·bor·ti·va·men·te,advérbio,a.boɾ.tʃi.va.mˈẽj.tʃi
335,a·bor·ti·vo,nome masculino,a.boɾ.tʃˈi.vʊ
336,a·bor·ti·vo,adjetivo,a.boɾ.tʃˈi.vʊ
337,a·bor·to,nome masculino,a.bˈoɾ.tʊ
338,a·bo·ta,nome feminino,a.bˈo.tə
339,a·bo·to·a·do,adjetivo,a.bo.to.ˈa.dʊ
340,a·bo·to·ar,verbo,a.bo.to.ˈa
341,a·bra,nome feminino,ˈa.bɾə
342,a·bra·ca·da·bra,nome masculino,a.bɾa.ka.dˈa.bɾə
343,a·bra·ça·do,adjetivo,a.bɾa.sˈa.dʊ
344,a·bra·çar,verbo,a.bɾa.sˈa
345,a·bra·ço,nome masculino,a.bɾˈa.sʊ
346,a·bran·da·do,adjetivo,a.bɾə̃.dˈa.dʊ
347,a·bran·da·men·to,nome masculino,a.bɾə̃.da.mˈẽj.tʊ
348,a·bran·dar,verbo,a.bɾə̃.dˈa
349,a·bran·gên·ci·a,nome feminino,a.bɾə̃.ʒˈẽj.sjə
350,a·bran·gen·te,adjetivo,a.bɾə̃.ʒˈẽj.tʃi
351,a·bran·ger,verbo,a.bɾə̃.ʒˈe
352,a·bran·gi·do,adjetivo,a.bɾə̃.ʒˈi.dʊ
353,a·bran·ti·na,nome feminino,a.bɾə̃.tʃˈi.nə
354,a·bran·ti·no,nome masculino,a.bɾə̃.tʃˈi.nʊ
355,a·bran·ti·no,adjetivo,a.bɾə̃.tʃˈi.nʊ
356,a·bra·sa·da·men·te,advérbio,a.bɾa.za.da.mˈẽj.tʃi
357,a·bra·sa·do,adjetivo,a.bɾa.zˈa.dʊ
358,a·bra·sa·dor,adjetivo,a.bɾa.za.dˈoɾ
359,a·bra·sa·do·ra·men·te,advérbio,a.bɾa.za.do.ɾa.mˈẽj.tʃi
360,a·bra·são,nome feminino,a.bɾa.zˈə̃w
361,a·bra·sar,verbo,a.bɾa.zˈa
362,a·bra·si·lei·ra·da·men·te,advérbio,a.bɾa.zi.lej.ɾa.da.mˈẽj.tʃi
363,a·bra·si·lei·ra·do,adjetivo,a.bɾa.zi.lej.ɾˈa.dʊ
364,a·bra·si·lei·rar,verbo,a.bɾa.zi.lej.ɾˈa
365,a·bra·si·vo,adjetivo,a.bɾa.zˈi.vʊ
366,a·bra·si·vo,nome masculino,a.bɾa.zˈi.vʊ
367,a·bre-la·tas,nome masculino,ˌa.bɾi.lˈa.təs
368,a·bre·nún·ci·o,nome masculino,a.bɾe.nˈũ.sjʊ
369,a·breu,nome masculino,a.bɾˈew
370,a·bre·vi·a·ção,nome feminino,a.bɾe.vja.sˈə̃w
371,a·bre·vi·a·da·men·te,advérbio,a.bɾe.vja.da.mˈẽj.tʃi
372,a·bre·vi·a·do,nome masculino,a.bɾe.vjˈa.dʊ
373,a·bre·vi·a·do,adjetivo,a.bɾe.vjˈa.dʊ
374,a·bre·vi·ar,verbo,a.bɾe.vjˈa
375,a·bre·vi·a·tu·ra,nome feminino,a.bɾe.vja.tˈu.ɾə
376,a·bri·ga·da,nome feminino,a.bɾi.gˈa.də
377,a·bri·ga·da·men·te,advérbio,a.bɾi.ga.da.mˈẽj.tʃi
378,a·bri·ga·do,adjetivo,a.bɾi.gˈa.dʊ
379,a·bri·gar,verbo,a.bɾi.gˈa
380,a·bri·go,nome masculino,a.bɾˈi.gʊ
381,a·bril,nome masculino,a.bɾˈiw
382,a·bri·lhan·ta·do,adjetivo,a.bɾi.ʎə̃.tˈa.dʊ
383,a·bri·lhan·tar,verbo,a.bɾi.ʎə̃.tˈa
384,a·brir,verbo,a.bɾˈi
385,a·bro·lho,nome masculino,a.bɾˈo.ʎʊ
386,a·bró·te·a,nome feminino,a.bɾˈɔ.tʃjə
387,a·bru·nhal,nome masculino,a.bɾu.ɲˈaw
388,a·bru·nhal,adjetivo,a.bɾu.ɲˈaw
389,a·bru·nhei·ro,nome masculino,a.bɾu.ɲˈej.ɾʊ
390,a·bru·nho,nome masculino,a.bɾˈu.ɲʊ
391,ab·rup·ta·men·te,advérbio,a.bɾu.pə.ta.mˈẽj.tʃi
392,ab·rup·to,adjetivo,abɾˈu.pə.tʊ
393,a·bru·ta·lha·da·men·te,advérbio,a.bɾu.ta.ʎa.da.mˈẽj.tʃi
394,a·bru·ta·lha·do,adjetivo,a.bɾu.ta.ʎˈa.dʊ
395,a·bru·ta·lhar,verbo,a.bɾu.ta.ʎˈa
396,ab·se·me·lhan·ça,nome feminino,ab.se.me.ʎˈə̃.sə
397,ab·se·me·lhan·te,adjetivo,ab.se.me.ʎˈə̃.tʃi
398,ab·sen·tar,verbo,ab.sẽ.tˈaɾ
399,ab·sen·tis·mo,nome masculino,a.bi.sẽ.tʃˈiz.mʊ
